id	cname	freq	fullcname
1	AFG	64	Afghanistan
2	AGO	10	Angola
3	ALB	2	Albania
4	ARE	26	United Arab Emirates
5	ARG	14	Argentina
6	ARM	4	Armenia
7	AUS	30	Australia
8	AUT	24	Austria
9	AZE	9	Azerbaijan
10	BDI	10	Burundi
11	BEL	47	Belgium
12	BFA	2	Burkina Faso
13	BGD	16	Bangladesh
14	BGR	2	Bulgaria
15	BHR	3	Bahrain
16	BIH	2	Bosnia and Herzegovina
17	BLR	11	Belarus
18	BMU	2	Bermuda
19	BOL	2	Bolivia, Plurinational State of
20	BRA	13	Brazil
21	BRB	1	Barbados
22	BTN	1	Bhutan
23	BWA	4	Botswana
24	CAN	32	Canada
25	CHE	6	Switzerland
26	CHL	2	Chile
27	CHN	153	China
28	CIV	4	Cote d'Ivoire
29	CMR	9	Cameroon
30	COD	4	Congo, the Democratic Republic of the
31	COL	6	Colombia
32	CUB	14	Cuba
33	CYP	8	Cyprus
34	CZE	4	Czech Republic
35	DEU	55	Germany
36	DNK	4	Denmark
37	DZA	5	Algeria
38	ECU	4	Ecuador
39	EGY	46	Egypt
40	ERI	1	Eritrea
41	ESP	22	Spain
42	EST	4	Estonia
43	ETH	6	Ethiopia
44	FIN	3	Finland
45	FRA	130	France
46	GBR	98	United Kingdom
47	GEO	8	Georgia
48	GHA	3	Ghana
49	GMB	3	Gambia
50	GRC	48	Greece
51	GTM	2	Guatemala
52	GUY	1	Guyana
53	HKG	10	Hong Kong
54	HRV	5	Croatia
55	HUN	12	Hungary
56	IDN	31	Indonesia
57	IND	127	India
58	IRL	4	Ireland
59	IRN	94	Iran, Islamic Republic of
60	IRQ	92	Iraq
61	ISL	1	Iceland
62	ISR	70	Israel
63	ITA	19	Italy
64	JOR	15	Jordan
65	JPN	53	Japan
66	KAZ	5	Kazakhstan
67	KEN	17	Kenya
68	KGZ	1	Kyrgyzstan
69	KHM	3	Cambodia
70	KOR	52	Korea, Republic of
71	KWT	7	Kuwait
72	LAO	3	Lao People's Democratic Republic
73	LBN	21	Lebanon
74	LBR	1	Liberia
75	LBY	25	Libya
76	LKA	3	Sri Lanka
77	LTU	1	Lithuania
78	LUX	2	Luxembourg
79	LVA	1	Latvia
80	MAC	1	Macao
81	MAR	5	Morocco
82	MDA	2	Moldova, Republic of
83	MDV	1	Maldives
84	MEX	12	Mexico
85	MKD	4	Macedonia, the former Yugoslav Republic of
86	MLI	6	Mali
87	MMR	11	Myanmar
88	MNG	1	Mongolia
89	MOZ	3	Mozambique
90	MUS	1	Mauritius
91	MWI	2	Malawi
92	MYS	28	Malaysia
93	NER	9	Niger
94	NGA	64	Nigeria
95	NLD	4	Netherlands
96	NOR	4	Norway
97	NPL	9	Nepal
98	NRU	1	Nauru
99	NZL	4	New Zealand
100	OMN	4	Oman
101	PAK	105	Pakistan
102	PAN	3	Panama
103	PER	1	Peru
104	PHL	39	Philippines
105	PNG	1	Papua New Guinea
106	POL	14	Poland
107	PRK	30	Korea, Democratic People's Republic of
108	PRT	1	Portugal
109	PRY	1	Paraguay
110	PSE	25	Palestine, State of
111	QAT	11	Qatar
112	ROU	6	Romania
113	RUS	126	Russian Federation
114	RWA	2	Rwanda
115	SAU	40	Saudi Arabia
116	SDN	8	Sudan
117	SEN	1	Senegal
118	SGP	4	Singapore
119	SLB	1	Solomon Islands
120	SLE	2	Sierra Leone
121	SLV	1	El Salvador
122	SOM	10	Somalia
123	SRB	9	Serbia
124	SSD	6	South Sudan
125	SVK	3	Slovakia
126	SWE	3	Sweden
127	SWZ	1	Swaziland
128	SYC	1	Seychelles
129	SYR	110	Syrian Arab Republic
130	TCD	3	Chad
131	TGO	1	Togo
132	THA	23	Thailand
133	TKM	2	Turkmenistan
134	TUN	6	Tunisia
135	TUR	79	Turkey
136	TWN	23	Taiwan, Province of China
137	TZA	3	Tanzania, United Republic of
138	UGA	8	Uganda
139	UKR	68	Ukraine
140	USA	429	United States
141	UZB	2	Uzbekistan
142	VEN	6	Venezuela, Bolivarian Republic of
143	VNM	5	Viet Nam
144	XKX	2	NA
145	YEM	28	Yemen
146	ZAF	20	South Africa
147	ZWE	9	Zimbabwe
