"Date","Freq"
"Jan 2012",4
"Feb 2012",2
"Mar 2012",8
"May 2012",6
"Aug 2012",2
"Sep 2012",22
"Oct 2012",2
"Nov 2012",4
"Dec 2012",12
"Feb 2013",8
"Mar 2013",6
"May 2013",22
"Jun 2013",24
"Jul 2013",20
"Aug 2013",60
"Sep 2013",12
"Oct 2013",10
"Nov 2013",18
"Dec 2013",4
"Jan 2014",8
"Feb 2014",50
"Mar 2014",142
"Apr 2014",52
"May 2014",68
"Jun 2014",28461
"Jul 2014",89296
"Aug 2014",75332
"Sep 2014",54280
"Oct 2014",44527
"Nov 2014",41674
"Dec 2014",33405
"Jan 2015",62026
"Feb 2015",90549
"Mar 2015",80649
"Apr 2015",70438
"May 2015",97011
"Jun 2015",98314
"Jul 2015",96527
"Aug 2015",83632
"Sep 2015",102686
"Oct 2015",99902
"Nov 2015",103037
"Dec 2015",83564
"Jan 2016",84361
"Feb 2016",86250
"Mar 2016",99334
"Apr 2016",89946
"May 2016",68087
